Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
Air India,01-05-2022,Banglore,Delhi,06:10:00,08:55,2h 45m,non-stop,6121
Jet Airways,18-05-2022,Delhi,Cochin,19:30:00,04:25 19 ,8h 55m,2 stops,13029
Multiple carriers,27-03-2022,Delhi,Cochin,11:40:00,18:50,7h 10m,1 stop,11421
Multiple carriers,27-03-2022,Delhi,Cochin,04:45:00,19:15,14h 30m,1 stop,7574
Air India,09-05-2022,Delhi,Cochin,12:55:00,19:15 10 ,30h 20m,2 stops,11596
Jet Airways,24-05-2022,Delhi,Cochin,23:05:00,19:00 25 ,19h 55m,2 stops,15129
Jet Airways,18-03-2022,Banglore,New Delhi,14:05:00,05:05 16 ,15h,1 stop,13555
IndiGo,12-04-2022,Banglore,Delhi,18:55:00,21:50,2h 55m,non-stop,5780
Vistara,12-05-2022,Kolkata,Banglore,20:20:00,09:05 13 ,12h 45m,1 stop,9397
Jet Airways,06-03-2022,Delhi,Cochin,18:15:00,04:25 07 ,10h 10m,1 stop,17024
GoAir,27-06-2022,Delhi,Cochin,07:00:00,12:55,5h 55m,1 stop,5281
Multiple carriers,18-05-2022,Delhi,Cochin,07:05:00,22:30,15h 25m,1 stop,10348
Air India,06-03-2022,Delhi,Cochin,17:20:00,09:25 07 ,16h 5m,1 stop,12677
Multiple carriers,03-03-2022,Delhi,Cochin,15:25:00,01:35 04 ,10h 10m,1 stop,15147
Vistara,12-06-2022,Banglore,Delhi,07:00:00,09:40,2h 40m,non-stop,4668
Jet Airways,09-05-2022,Delhi,Cochin,07:05:00,19:00,11h 55m,1 stop,15554
SpiceJet,09-04-2022,Banglore,Delhi,05:55:00,08:35,2h 40m,non-stop,3971
Air India,03-05-2022,Mumbai,Hyderabad,15:00:00,16:25,1h 25m,non-stop,3100
Jet Airways,06-05-2022,Kolkata,Banglore,20:00:00,10:05 07 ,14h 5m,1 stop,9663
Air India,01-03-2022,Delhi,Cochin,23:00:00,19:15 02 ,20h 15m,1 stop,27430
IndiGo,12-05-2022,Chennai,Kolkata,05:15:00,07:40,2h 25m,non-stop,3540
Air India,21-05-2022,Kolkata,Banglore,12:00:00,11:10 22 ,23h 10m,2 stops,10676
Jet Airways,12-06-2022,Kolkata,Banglore,14:05:00,08:15 13 ,18h 10m,1 stop,13044
Jet Airways,06-05-2022,Kolkata,Banglore,20:00:00,12:00 07 ,16h,1 stop,14388
IndiGo,24-06-2022,Banglore,Delhi,04:00:00,06:50,2h 50m,non-stop,3943
IndiGo,03-06-2022,Chennai,Kolkata,14:45:00,17:05,2h 20m,non-stop,3597
Air India,21-03-2022,Banglore,New Delhi,11:50:00,19:50,8h,1 stop,5932
Jet Airways,15-06-2022,Delhi,Cochin,11:30:00,04:25 16 ,16h 55m,1 stop,10262
Vistara,12-05-2022,Delhi,Cochin,14:40:00,17:50,3h 10m,non-stop,6216
IndiGo,15-06-2022,Kolkata,Banglore,20:25:00,23:10,2h 45m,non-stop,4804
Multiple carriers,21-05-2022,Delhi,Cochin,11:30:00,01:30 22 ,14h,1 stop,14067
Jet Airways,18-05-2022,Delhi,Cochin,19:10:00,19:00 19 ,23h 50m,2 stops,15129
Jet Airways,06-06-2022,Delhi,Cochin,06:45:00,04:25 07 ,21h 40m,2 stops,13376
Air India,27-06-2022,Delhi,Cochin,22:00:00,19:15 28 ,21h 15m,2 stops,10441
Jet Airways,24-05-2022,Banglore,Delhi,06:00:00,08:45,2h 45m,non-stop,4030
Jet Airways,03-03-2022,Delhi,Cochin,08:00:00,18:50,10h 50m,1 stop,17024
Multiple carriers,09-04-2022,Delhi,Cochin,17:30:00,01:30 10 ,8h,1 stop,13017
GoAir,06-06-2022,Kolkata,Banglore,23:30:00,07:45 07 ,8h 15m,1 stop,6686
IndiGo,15-06-2022,Delhi,Cochin,02:00:00,07:25,5h 25m,1 stop,5636
IndiGo,09-06-2022,Delhi,Cochin,07:35:00,16:10,8h 35m,1 stop,6442
Multiple carriers,21-05-2022,Delhi,Cochin,13:05:00,00:55 22 ,11h 50m,1 stop,9486
Jet Airways,21-05-2022,Kolkata,Banglore,20:00:00,23:35 22 ,27h 35m,1 stop,10844
Jet Airways,03-06-2022,Delhi,Cochin,20:00:00,04:25 04 ,8h 25m,2 stops,15318
Air India,03-04-2022,Delhi,Cochin,12:30:00,09:25 04 ,20h 55m,1 stop,5117
IndiGo,24-06-2022,Delhi,Cochin,15:10:00,20:00,4h 50m,1 stop,6147
Multiple carriers,09-06-2022,Delhi,Cochin,12:50:00,21:00,8h 10m,1 stop,7005
SpiceJet,03-04-2022,Kolkata,Banglore,22:20:00,00:40 04 ,2h 20m,non-stop,3873
Jet Airways,21-03-2022,Delhi,Cochin,18:25:00,18:50 22 ,24h 25m,2 stops,9270
GoAir,27-06-2022,Banglore,Delhi,11:40:00,14:30,2h 50m,non-stop,3898
Jet Airways,12-05-2022,Kolkata,Banglore,08:25:00,20:45,12h 20m,1 stop,14781
Jet Airways,24-05-2022,Kolkata,Banglore,20:00:00,08:15 25 ,12h 15m,1 stop,8586
Air India,09-05-2022,Kolkata,Banglore,08:20:00,07:55 10 ,23h 35m,2 stops,10697
Jet Airways,27-06-2022,Delhi,Cochin,20:00:00,12:35 28 ,16h 35m,2 stops,14300
IndiGo,03-03-2022,Banglore,New Delhi,18:55:00,21:45,2h 50m,non-stop,8855
Jet Airways,12-05-2022,Kolkata,Banglore,16:30:00,18:15 13 ,25h 45m,1 stop,10844
Jet Airways,06-03-2022,Delhi,Cochin,02:15:00,04:25 07 ,26h 10m,1 stop,17024
Jet Airways,01-05-2022,Kolkata,Banglore,09:35:00,14:25 02 ,28h 50m,1 stop,9314
IndiGo,24-03-2022,Banglore,New Delhi,00:40:00,03:25,2h 45m,non-stop,4777
Air India,09-06-2022,Kolkata,Banglore,12:00:00,13:15 10 ,25h 15m,1 stop,7662
IndiGo,09-05-2022,Delhi,Cochin,06:50:00,16:10,9h 20m,1 stop,6442
SpiceJet,12-06-2022,Delhi,Cochin,08:45:00,13:15,4h 30m,1 stop,5264
Jet Airways,27-05-2022,Delhi,Cochin,13:00:00,04:25 28 ,15h 25m,1 stop,12898
Air India,03-03-2022,Mumbai,Hyderabad,13:55:00,15:25,1h 30m,non-stop,6092
SpiceJet,21-05-2022,Banglore,Delhi,05:55:00,08:35,2h 40m,non-stop,3311
Jet Airways,27-03-2022,Delhi,Cochin,19:15:00,04:25 28 ,9h 10m,1 stop,6540
IndiGo,27-05-2022,Banglore,Delhi,01:30:00,04:15,2h 45m,non-stop,3419
Jet Airways,03-04-2022,Delhi,Cochin,14:00:00,12:35 04 ,22h 35m,1 stop,5177
Air India,18-04-2022,Delhi,Cochin,18:05:00,21:10,3h 5m,non-stop,8246
Jet Airways,09-06-2022,Kolkata,Banglore,09:35:00,21:05,11h 30m,1 stop,14676
Multiple carriers,27-06-2022,Delhi,Cochin,11:30:00,21:00,9h 30m,1 stop,13587
Jet Airways,06-05-2022,Kolkata,Banglore,21:10:00,09:20 07 ,12h 10m,1 stop,9663
Jet Airways,12-06-2022,Kolkata,Banglore,16:30:00,10:05 13 ,17h 35m,1 stop,13044
IndiGo,03-04-2022,Delhi,Cochin,20:25:00,01:30 04 ,5h 5m,1 stop,5073
Vistara,21-05-2022,Kolkata,Banglore,17:00:00,18:50 22 ,25h 50m,1 stop,9345
Jet Airways,06-05-2022,Kolkata,Banglore,14:05:00,10:05 07 ,20h,1 stop,9663
Multiple carriers,21-05-2022,Delhi,Cochin,08:00:00,21:00,13h,1 stop,14277
Jet Airways,01-06-2022,Delhi,Cochin,10:00:00,04:25 02 ,18h 25m,1 stop,10262
Jet Airways,27-03-2022,Mumbai,Hyderabad,19:35:00,21:05,1h 30m,non-stop,5678
Multiple carriers,15-05-2022,Delhi,Cochin,16:00:00,01:30 16 ,9h 30m,1 stop,13727
Jet Airways,06-05-2022,Kolkata,Banglore,20:00:00,12:00 07 ,16h,1 stop,9663
IndiGo,12-05-2022,Chennai,Kolkata,14:45:00,17:05,2h 20m,non-stop,3858
SpiceJet,24-06-2022,Delhi,Cochin,08:45:00,13:15,4h 30m,1 stop,4812
IndiGo,27-06-2022,Delhi,Cochin,21:50:00,03:35 28 ,5h 45m,1 stop,5775
Jet Airways,06-06-2022,Kolkata,Banglore,09:35:00,09:45 07 ,24h 10m,1 stop,10539
IndiGo,03-06-2022,Kolkata,Banglore,15:30:00,18:05,2h 35m,non-stop,4804
Air Asia,12-06-2022,Banglore,Delhi,11:10:00,13:55,2h 45m,non-stop,3383
IndiGo,03-03-2022,Banglore,New Delhi,12:10:00,17:05,4h 55m,1 stop,8738
Air India,27-03-2022,Delhi,Cochin,05:15:00,06:50 28 ,25h 35m,1 stop,7165
IndiGo,24-06-2022,Delhi,Cochin,16:10:00,22:30,6h 20m,1 stop,6412
Jet Airways,27-06-2022,Banglore,Delhi,18:55:00,22:00,3h 5m,non-stop,8016
Jet Airways,12-03-2022,Banglore,New Delhi,20:35:00,15:15 13 ,18h 40m,1 stop,11087
SpiceJet,27-06-2022,Chennai,Kolkata,09:45:00,12:00,2h 15m,non-stop,3543
Jet Airways,12-06-2022,Kolkata,Banglore,16:30:00,04:40 13 ,12h 10m,1 stop,12471
Jet Airways,24-06-2022,Delhi,Cochin,09:00:00,04:25 25 ,19h 25m,1 stop,10262
Air India,18-03-2022,Banglore,New Delhi,13:20:00,16:10,2h 50m,non-stop,4441
Multiple carriers,27-03-2022,Delhi,Cochin,07:05:00,15:30,8h 25m,1 stop,12537
GoAir,24-03-2022,Kolkata,Banglore,22:25:00,07:40 25 ,9h 15m,1 stop,10091
Air India,03-06-2022,Banglore,Delhi,21:05:00,23:55,2h 50m,non-stop,6961
IndiGo,24-04-2022,Delhi,Cochin,05:35:00,08:50,3h 15m,non-stop,5013
Air India,18-05-2022,Delhi,Cochin,05:10:00,08:00,2h 50m,non-stop,6934
Multiple carriers,03-06-2022,Delhi,Cochin,06:40:00,19:00,12h 20m,1 stop,10877
Jet Airways,18-04-2022,Banglore,Delhi,15:15:00,18:10,2h 55m,non-stop,7229
IndiGo,27-03-2022,Delhi,Cochin,16:00:00,01:35 28 ,9h 35m,1 stop,7048
Vistara,27-06-2022,Banglore,Delhi,17:00:00,19:35,2h 35m,non-stop,4878
Jet Airways,21-05-2022,Kolkata,Banglore,14:05:00,23:35,9h 30m,1 stop,10844
Jet Airways,18-05-2022,Delhi,Cochin,23:05:00,04:25 20 ,29h 20m,2 stops,15129
IndiGo,12-05-2022,Banglore,Delhi,00:30:00,03:25,2h 55m,non-stop,3943
SpiceJet,06-06-2022,Delhi,Cochin,06:05:00,11:20,5h 15m,1 stop,5583
Multiple carriers,06-06-2022,Delhi,Cochin,07:05:00,16:10,9h 5m,1 stop,9646
Multiple carriers,03-06-2022,Delhi,Cochin,08:30:00,19:15,10h 45m,1 stop,7677
IndiGo,01-06-2022,Delhi,Cochin,05:10:00,10:05,4h 55m,1 stop,6842
Jet Airways,24-06-2022,Mumbai,Hyderabad,08:45:00,10:15,1h 30m,non-stop,4995
Vistara,09-06-2022,Kolkata,Banglore,07:10:00,18:50,11h 40m,1 stop,9555
IndiGo,01-06-2022,Banglore,Delhi,01:30:00,04:15,2h 45m,non-stop,4077
Jet Airways,12-05-2022,Banglore,Delhi,15:15:00,18:10,2h 55m,non-stop,7229
Multiple carriers,09-06-2022,Delhi,Cochin,09:00:00,19:00,10h,1 stop,12192
Air India,12-04-2022,Banglore,Delhi,10:00:00,12:45,2h 45m,non-stop,5911
Air India,12-06-2022,Delhi,Cochin,09:00:00,19:15,10h 15m,1 stop,8372
Jet Airways,18-03-2022,Mumbai,Hyderabad,07:10:00,08:35,1h 25m,non-stop,4995
Multiple carriers,09-05-2022,Delhi,Cochin,10:00:00,19:15,9h 15m,1 stop,14323
Jet Airways,09-06-2022,Delhi,Cochin,05:30:00,04:25 10 ,22h 55m,2 stops,13014
Air India,06-06-2022,Delhi,Cochin,14:25:00,19:15 07 ,28h 50m,2 stops,13591
Jet Airways,03-03-2022,Delhi,Cochin,05:25:00,18:50 04 ,37h 25m,2 stops,18799
IndiGo,27-04-2022,Banglore,Delhi,23:30:00,02:20 28 ,2h 50m,non-stop,3943
SpiceJet,21-05-2022,Mumbai,Hyderabad,05:45:00,07:15,1h 30m,non-stop,1965
Jet Airways,27-05-2022,Mumbai,Hyderabad,10:20:00,11:50,1h 30m,non-stop,4995
Air India,24-03-2022,Kolkata,Banglore,16:50:00,18:30 25 ,25h 40m,1 stop,14641
Air India,12-04-2022,Kolkata,Banglore,20:45:00,23:20,2h 35m,non-stop,4460
Air India,18-05-2022,Delhi,Cochin,13:00:00,19:15,6h 15m,1 stop,10191
Jet Airways,09-03-2022,Delhi,Cochin,02:15:00,19:45,17h 30m,1 stop,13843
IndiGo,01-05-2022,Delhi,Cochin,21:50:00,03:35 02 ,5h 45m,1 stop,6349
Air Asia,01-05-2022,Kolkata,Banglore,10:20:00,12:55,2h 35m,non-stop,4409
Jet Airways,06-03-2022,Delhi,Cochin,18:15:00,19:45 07 ,25h 30m,1 stop,17024
Multiple carriers,18-05-2022,Delhi,Cochin,07:05:00,21:00,13h 55m,1 stop,13727
IndiGo,15-03-2022,Banglore,New Delhi,18:25:00,21:20,2h 55m,non-stop,8855
Multiple carriers,24-06-2022,Delhi,Cochin,08:45:00,19:00,10h 15m,1 stop,12524
Jet Airways,18-03-2022,Banglore,New Delhi,11:40:00,20:20,8h 40m,1 stop,13555
Jet Airways,06-06-2022,Kolkata,Banglore,06:30:00,12:00,5h 30m,1 stop,10844
Multiple carriers,09-06-2022,Delhi,Cochin,09:00:00,21:00,12h,1 stop,13587
SpiceJet,12-06-2022,Chennai,Kolkata,09:45:00,12:00,2h 15m,non-stop,3543
Vistara,18-03-2022,Chennai,Kolkata,07:05:00,09:20,2h 15m,non-stop,4842
IndiGo,24-04-2022,Banglore,Delhi,23:30:00,02:20 25 ,2h 50m,non-stop,3943
Jet Airways,09-06-2022,Delhi,Cochin,19:15:00,04:25 10 ,9h 10m,1 stop,10577
IndiGo,15-05-2022,Delhi,Cochin,10:35:00,21:00,10h 25m,1 stop,6979
Vistara,27-06-2022,Chennai,Kolkata,17:45:00,20:05,2h 20m,non-stop,11982
SpiceJet,06-06-2022,Delhi,Cochin,08:45:00,13:15,4h 30m,1 stop,5264
Vistara,03-03-2022,Delhi,Cochin,06:00:00,09:10,3h 10m,non-stop,8001
Air India,01-06-2022,Delhi,Cochin,19:45:00,19:15 02 ,23h 30m,2 stops,10651
Jet Airways,24-05-2022,Kolkata,Banglore,16:30:00,19:50 25 ,27h 20m,1 stop,10844
Multiple carriers,27-03-2022,Delhi,Cochin,09:45:00,22:20,12h 35m,1 stop,6601
Air India,21-03-2022,Delhi,Cochin,19:00:00,19:15 22 ,24h 15m,1 stop,6587
SpiceJet,21-03-2022,Mumbai,Hyderabad,13:10:00,14:30,1h 20m,non-stop,3173
Air India,09-05-2022,Banglore,Delhi,10:00:00,12:45,2h 45m,non-stop,5228
Jet Airways,21-06-2022,Banglore,Delhi,07:10:00,10:10,3h,non-stop,5769
Jet Airways,06-06-2022,Delhi,Cochin,08:00:00,19:00,11h,1 stop,14714
Jet Airways,03-06-2022,Delhi,Cochin,05:30:00,19:00,13h 30m,2 stops,13014
IndiGo,03-06-2022,Banglore,Delhi,22:10:00,01:00 04 ,2h 50m,non-stop,3359
GoAir,03-03-2022,Banglore,New Delhi,20:55:00,23:50,2h 55m,non-stop,6722
IndiGo,18-03-2022,Kolkata,Banglore,09:35:00,12:20,2h 45m,non-stop,4462
IndiGo,09-03-2022,Delhi,Cochin,04:55:00,16:10,11h 15m,1 stop,6171
Air India,21-05-2022,Kolkata,Banglore,05:50:00,20:25,14h 35m,2 stops,12303
Multiple carriers,21-03-2022,Delhi,Cochin,11:40:00,01:35 22 ,13h 55m,1 stop,7695
IndiGo,24-06-2022,Delhi,Cochin,11:25:00,01:30 25 ,14h 5m,1 stop,5684
Air India,12-06-2022,Kolkata,Banglore,16:50:00,07:55 13 ,15h 5m,1 stop,8366
Air India,01-03-2022,Chennai,Kolkata,11:40:00,13:55,2h 15m,non-stop,19630
Jet Airways,06-03-2022,Banglore,New Delhi,14:05:00,05:05 07 ,15h,1 stop,13502
Jet Airways,01-05-2022,Kolkata,Banglore,21:10:00,10:05 02 ,12h 55m,1 stop,14781
Multiple carriers,12-06-2022,Delhi,Cochin,07:10:00,16:10,9h,1 stop,6513
Air India,01-06-2022,Delhi,Cochin,07:00:00,19:15,12h 15m,1 stop,9929
Multiple carriers,06-06-2022,Delhi,Cochin,17:50:00,01:30 07 ,7h 40m,2 stops,18275
Air India,09-04-2022,Delhi,Cochin,06:05:00,09:25 10 ,27h 20m,1 stop,4487
IndiGo,15-03-2022,Mumbai,Hyderabad,21:20:00,22:45,1h 25m,non-stop,2754
Air India,27-03-2022,Mumbai,Hyderabad,06:20:00,07:40,1h 20m,non-stop,2575
SpiceJet,12-06-2022,Kolkata,Banglore,15:55:00,21:25,5h 30m,1 stop,8224
Air India,09-03-2022,Delhi,Cochin,20:30:00,08:15 10 ,11h 45m,1 stop,8991
IndiGo,24-06-2022,Delhi,Cochin,05:35:00,08:50,3h 15m,non-stop,5000
Jet Airways,12-06-2022,Kolkata,Banglore,18:55:00,19:50 13 ,24h 55m,1 stop,8529
